"Ціна, грн",Кімнати,Площа,Район,Адреса,Координати,Відстань,Рейтинг
10000,2,46,Деснянський,"вул. Мілютенка, 7а","(50.46682001578938, 30.631180010098575)",768,1
6500,1,35,Подільський,"просп. Гонгадзе, 11а","(50.51240000897664, 30.40938999057252)",4230,2
9000,1,49,Подільський,"просп. Правди, 31а","(50.50308000000007, 30.436690000000056)",2963,2
8000,1,32,Дніпровський,"Харківське ш., 8","(50.43885999845287, 30.62851003866109)",2219,1
14000,3,60,Дарницький,"Волго-Донський пров., 5/2","(50.424460014526005, 30.67296002557174)",2347,2
8000,1,17,Солом'янський,"вул. Гонгадзе, 41","(50.45000961197567, 30.420103035263796)",949,2
11000,1,52,Дніпровський,"вул. Ованеса Туманяна, 1а","(50.446632998895744, 30.601113045349603)",583,1
12000,3,97,Дарницький,"вул. Декабристів, 12/37","(50.4035099923627, 30.65232998256215)",264,2
12500,1,40,Подільський,"просп. Правди, 41д","(50.50534154506028, 30.447001844396027)",3395,2
10500,1,40,Дніпровський,"вул. Поправки, 4/39а","(50.45510999413912, 30.629319981964926)",541,1
12000,1,40,Святошинський,"вул. Анатолія Петрицького, 15","(50.44650999384305, 30.38154002762471)",1458,1
13000,3,70,Голосіївський,"вул. Антоновича, 88","(50.425350005005185, 30.513860020094484)",731,3
18500,3,70,Печерський,"вул. Драгомирова, 6б","(50.41438999605103, 30.545990034260768)",409,3
8000,1,32,Печерський,"вул. Бастіонна, 13","(50.416680015817604, 30.555399977860702)",818,3
12000,2,50,Голосіївський,"вул. Деміївська, 51","(50.39925001580232, 30.504990038697144)",416,3
5999,1,35,Деснянський,"вул. Шолом-Алейхема, 8","(50.47112001593743, 30.629089982541785)",1248,1
8000,1,33,Солом'янський,"вул. Білецького, 5б","(50.43048999757994, 30.420619980627947)",3119,2
11999,2,68,Подільський,"вул. Кирилівська, 85/87а","(50.47939999517024, 30.47890999842383)",1892,2
